产品网址：https://www.iscsemi.com/supply/4.html
产品结构：首页->产品

|产品名称|产品型号|功能描述|
|----|----|----|
|MOSFET 单管|无|无|

可国产化替代之型号,封装
AOB409L,D²PAK/TO-263
AOB410L,D²PAK/TO-263
AOB411L,D²PAK/TO-263
AOB412L,D²PAK/TO-263
AOB414,D²PAK/TO-263
AOB414L,D²PAK/TO-263
AOB416,D²PAK/TO-263
AOB416L,D²PAK/TO-263
AOB418,D²PAK/TO-263
AOB4184,D²PAK/TO-263
AOB418L,D²PAK/TO-263
AOB420,D²PAK/TO-263
AOB420L,D²PAK/TO-263
AOB428,D²PAK/TO-263
AOB428L,D²PAK/TO-263
AOB42S60,D²PAK/TO-263
AOB42S60L,D²PAK/TO-263
AOB430,D²PAK/TO-263
AOB430L,D²PAK/TO-263
AOB430Y,D²PAK/TO-263
AOB430YL,D²PAK/TO-263
AOB432,D²PAK/TO-263
AOB432L,D²PAK/TO-263
AOB434,D²PAK/TO-263
AOB434L,D²PAK/TO-263
AOB436,D²PAK/TO-263
AOB436L,D²PAK/TO-263
AOB438,D²PAK/TO-263
AOB438L,D²PAK/TO-263
AOB440,D²PAK/TO-263
AOB442,D²PAK/TO-263
AOB462L,D²PAK/TO-263
AOB466L,D²PAK/TO-263
AOB470L,D²PAK/TO-263
AOB480L,D²PAK/TO-263
AOB482L,D²PAK/TO-263
AOB4S60,D²PAK/TO-263
AOB4S60L,D²PAK/TO-263
AOB5B60D,D²PAK/TO-263
AOB5B65M1,D²PAK/TO-263
AOB600A60L,D²PAK/TO-263
AOB600A70L,D²PAK/TO-263
AOB7S60,D²PAK/TO-263
AOB7S60L,D²PAK/TO-263
AOB7S65,D²PAK/TO-263
AOB7S65L,D²PAK/TO-263
AOB9N70,D²PAK/TO-263
AOB9N70L,D²PAK/TO-263
AOD11S60,DPAK/TO-252
AOD1N60,DPAK/TO-252
AOD200,DPAK/TO-252
AOD206,DPAK/TO-252
AOD208,DPAK/TO-252
AOD210,DPAK/TO-252
AOD2144,DPAK/TO-252
AOD2146,DPAK/TO-252
AOD2210,DPAK/TO-252
AOD240,DPAK/TO-252
AOD242,DPAK/TO-252
AOD254,DPAK/TO-252
AOD2544,DPAK/TO-252
AOD2544L,DPAK/TO-252
AOD256,DPAK/TO-252
AOD2606,DPAK/TO-252
AOD2610,DPAK/TO-252
AOD2610E,DPAK/TO-252
AOD280A60,DPAK/TO-252
AOD2810,DPAK/TO-252
AOD2816,DPAK/TO-252
AOD2904,DPAK/TO-252
AOD2908,DPAK/TO-252
AOD2910,DPAK/TO-252
AOD2910E,DPAK/TO-252
AOD2916,DPAK/TO-252
AOD2922,DPAK/TO-252
AOD294A,DPAK/TO-252
AOD296A,DPAK/TO-252
AOD2C60,DPAK/TO-252
AOD2HC60,DPAK/TO-252
AOD2N100,DPAK/TO-252
AOD2N60,DPAK/TO-252
AOD2N60A,DPAK/TO-252
AOD380A60C,DPAK/TO-252
AOD3C50,DPAK/TO-252
AOD3C60,DPAK/TO-252
AOD3N40,DPAK/TO-252
AOD3N50,DPAK/TO-252
AOD3N60,DPAK/TO-252
AOD3N80,DPAK/TO-252
AOD3T40P,DPAK/TO-252
AOD400,DPAK/TO-252
AOD400L,DPAK/TO-252
AOD402,DPAK/TO-252
AOD402L,DPAK/TO-252
AOD403,DPAK/TO-252
AOD403L,DPAK/TO-252
AOD404,DPAK/TO-252
AOD404L,DPAK/TO-252
AOD405,DPAK/TO-252
AOD405L,DPAK/TO-252
AOD406,DPAK/TO-252
AOD406L,DPAK/TO-252
AOD407,DPAK/TO-252
AOD407L,DPAK/TO-252
AOD408,DPAK/TO-252
AOD408L,DPAK/TO-252
AOD409,DPAK/TO-252
AOD409G,DPAK/TO-252
AOD409L,DPAK/TO-252
AOD410,DPAK/TO-252
AOD4100,DPAK/TO-252
AOD4102,DPAK/TO-252
AOD4104,DPAK/TO-252
AOD4106,DPAK/TO-252
AOD410L,DPAK/TO-252
AOD4110,DPAK/TO-252
AOD4112,DPAK/TO-252
AOD412,DPAK/TO-252
AOD4120,DPAK/TO-252
AOD4124,DPAK/TO-252
AOD4126,DPAK/TO-252
AOD4128,DPAK/TO-252
AOD412L,DPAK/TO-252
AOD413,DPAK/TO-252
AOD4130,DPAK/TO-252
AOD4132,DPAK/TO-252
AOD4136,DPAK/TO-252
AOD413A,DPAK/TO-252
AOD413L,DPAK/TO-252
AOD413Y,DPAK/TO-252
AOD413YL,DPAK/TO-252
AOD414,DPAK/TO-252
AOD4140,DPAK/TO-252
AOD4142,DPAK/TO-252
AOD4144,DPAK/TO-252
AOD4146,DPAK/TO-252
AOD414L,DPAK/TO-252
AOD4156,DPAK/TO-252
AOD4158P,DPAK/TO-252
AOD4162,DPAK/TO-252
AOD417,DPAK/TO-252
AOD418,DPAK/TO-252
AOD4180,DPAK/TO-252
AOD4182,DPAK/TO-252
AOD4184,DPAK/TO-252
AOD4184A,DPAK/TO-252
AOD4184L,DPAK/TO-252
AOD4185,DPAK/TO-252
AOD4186,DPAK/TO-252
AOD4187,DPAK/TO-252
AOD4189,DPAK/TO-252
AOD419,DPAK/TO-252
AOD4191L,DPAK/TO-252
AOD420,DPAK/TO-252
AOD420L,DPAK/TO-252
AOD421,DPAK/TO-252
AOD422,DPAK/TO-252
AOD422L,DPAK/TO-252
AOD423,DPAK/TO-252
AOD424,DPAK/TO-252
AOD425,DPAK/TO-252
AOD4286,DPAK/TO-252
AOD434,DPAK/TO-252
AOD434L,DPAK/TO-252
AOD436,DPAK/TO-252
AOD436L,DPAK/TO-252
AOD438,DPAK/TO-252
AOD438L,DPAK/TO-252
AOD442,DPAK/TO-252
AOD442L,DPAK/TO-252
AOD444,DPAK/TO-252
AOD444L,DPAK/TO-252
AOD4454,DPAK/TO-252
AOD446,DPAK/TO-252
AOD446L,DPAK/TO-252
AOD448,DPAK/TO-252
AOD448L,DPAK/TO-252
AOD450,DPAK/TO-252
AOD4504,DPAK/TO-252
AOD450L,DPAK/TO-252
AOD452,DPAK/TO-252
AOD452A,DPAK/TO-252
AOD452AL,DPAK/TO-252
AOD452L,DPAK/TO-252
AOD454,DPAK/TO-252
AOD454A,DPAK/TO-252
AOD454L,DPAK/TO-252
AOD454Y,DPAK/TO-252
AOD454YL,DPAK/TO-252
AOD456,DPAK/TO-252
AOD456A,DPAK/TO-252
AOD456AL,DPAK/TO-252
AOD456L,DPAK/TO-252
AOD458,DPAK/TO-252
AOD458L,DPAK/TO-252
AOD460,DPAK/TO-252
AOD460L,DPAK/TO-252
AOD464,DPAK/TO-252
AOD464L,DPAK/TO-252
AOD466,DPAK/TO-252
AOD466L,DPAK/TO-252
AOD468,DPAK/TO-252
AOD472,DPAK/TO-252
AOD472A,DPAK/TO-252
AOD472AL,DPAK/TO-252
AOD472L,DPAK/TO-252
AOD474,DPAK/TO-252
AOD474A,DPAK/TO-252
AOD474B,DPAK/TO-252
AOD474BL,DPAK/TO-252
AOD476,DPAK/TO-252
AOD478,DPAK/TO-252
AOD480,DPAK/TO-252
AOD482,DPAK/TO-252
AOD484,DPAK/TO-252
AOD486A,DPAK/TO-252
AOD488,DPAK/TO-252
AOD490,DPAK/TO-252
AOD492,DPAK/TO-252
AOD494,DPAK/TO-252
AOD496,DPAK/TO-252
AOD496A,DPAK/TO-252
AOD498,DPAK/TO-252
AOD4C60,DPAK/TO-252
AOD4N60,DPAK/TO-252
AOD4S60,DPAK/TO-252
AOD4T60L,DPAK/TO-252
AOD4T60P,DPAK/TO-252
AOD502,DPAK/TO-252
AOD504,DPAK/TO-252
AOD508,DPAK/TO-252
AOD510,DPAK/TO-252
AOD512,DPAK/TO-252
AOD514,DPAK/TO-252
AOD516,DPAK/TO-252
AOD518,DPAK/TO-252
AOD522,DPAK/TO-252
AOD522P,DPAK/TO-252
AOD526,DPAK/TO-252
AOD528,DPAK/TO-252
AOD536,DPAK/TO-252
AOD538,DPAK/TO-252
AOD558,DPAK/TO-252
AOD5B60D,DPAK/TO-252
AOD5B65M1,DPAK/TO-252
AOD5B65N1,DPAK/TO-252
AOD5N40,DPAK/TO-252
AOD5N50,DPAK/TO-252
AOD5T40P,DPAK/TO-252
AOD600A70R,DPAK/TO-252
AOD603,DPAK/TO-252
AOD603A,DPAK/TO-252
AOD603L,DPAK/TO-252
AOD606,DPAK/TO-252
AOD606L,DPAK/TO-252
AOD607,DPAK/TO-252
AOD607A,DPAK/TO-252
AOD607L,DPAK/TO-252
AOD608,DPAK/TO-252
AOD609,DPAK/TO-252
AOD661,DPAK/TO-252
AOD66406,DPAK/TO-252
AOD6B65MQ1E,DPAK/TO-252
AOD6N50,DPAK/TO-252
AOD7B65M3,DPAK/TO-252
AOD7N60,DPAK/TO-252
AOD7N65,DPAK/TO-252
AOD7S60,DPAK/TO-252
AOD7S65,DPAK/TO-252
AOD8B65MQ1,DPAK/TO-252
AOD8N25,DPAK/TO-252
AOD9N40,DPAK/TO-252
AOD9N50,DPAK/TO-252
AOD9N52,DPAK/TO-252
AOD9T40P,DPAK/TO-252
AOF11S60L,TO-220F
AOI11S60,IPAK/TO-251
AOI1N60,IPAK/TO-251
AOI206,IPAK/TO-251
AOI208,IPAK/TO-251
AOI2210,IPAK/TO-251
AOI2606,IPAK/TO-251
AOI2610,IPAK/TO-251
AOI2610E,IPAK/TO-251
AOI2614,IPAK/TO-251
AOI280A60,IPAK/TO-251
AOI294A,IPAK/TO-251
AOI296A,IPAK/TO-251
AOI2N60,IPAK/TO-251
AOI2N60A,IPAK/TO-251
AOI380A60C,IPAK/TO-251
AOI400,IPAK/TO-251
AOI402,IPAK/TO-251
AOI403,IPAK/TO-251
AOI404,IPAK/TO-251
AOI406,IPAK/TO-251
AOI407,IPAK/TO-251
AOI408,IPAK/TO-251
AOI409,IPAK/TO-251
AOI410,IPAK/TO-251
AOI4100,IPAK/TO-251
AOI4102,IPAK/TO-251
AOI4104,IPAK/TO-251
AOI4106,IPAK/TO-251
AOI4120,IPAK/TO-251
AOI4126,IPAK/TO-251
AOI4128,IPAK/TO-251
AOI413,IPAK/TO-251
AOI4130,IPAK/TO-251
AOI4132,IPAK/TO-251
AOI4136,IPAK/TO-251
AOI413A,IPAK/TO-251
AOI414,IPAK/TO-251
AOI4140,IPAK/TO-251
AOI4142,IPAK/TO-251
AOI4144,IPAK/TO-251
AOI4146,IPAK/TO-251
AOI417,IPAK/TO-251
AOI418,IPAK/TO-251
AOI4184,IPAK/TO-251
AOI4185,IPAK/TO-251
AOI4187,IPAK/TO-251
AOI4189,IPAK/TO-251
AOI4191,IPAK/TO-251
AOI420,IPAK/TO-251
AOI422,IPAK/TO-251
AOI423,IPAK/TO-251
AOI425,IPAK/TO-251
AOI4286,IPAK/TO-251
AOI4286L,IPAK/TO-251
AOI442,IPAK/TO-251
AOI444,IPAK/TO-251
AOI446,IPAK/TO-251
AOI448,IPAK/TO-251
AOI450,IPAK/TO-251
AOI452,IPAK/TO-251
AOI452A,IPAK/TO-251
AOI456,IPAK/TO-251
AOI460,IPAK/TO-251
AOI466,IPAK/TO-251
AOI468,IPAK/TO-251
AOI472,IPAK/TO-251
AOI472A,IPAK/TO-251
AOI476,IPAK/TO-251
AOI478,IPAK/TO-251
AOI480,IPAK/TO-251
AOI482,IPAK/TO-251
AOI484,IPAK/TO-251
AOI486A,IPAK/TO-251
AOI490,IPAK/TO-251
AOI492,IPAK/TO-251
AOI496,IPAK/TO-251
AOI496A,IPAK/TO-251
AOI4C60,IPAK/TO-251
AOI4C60L,IPAK/TO-251
AOI4N60,IPAK/TO-251
AOI4S60,IPAK/TO-251
AOI4T60,IPAK/TO-251
AOI4T60L,IPAK/TO-251
AOI4T60P,IPAK/TO-251
AOI508,IPAK/TO-251
AOI510,IPAK/TO-251
AOI514,IPAK/TO-251
AOI516,IPAK/TO-251
AOI518,IPAK/TO-251
AOI530,IPAK/TO-251
AOI530L,IPAK/TO-251
AOI538,IPAK/TO-251
AOI5N40,IPAK/TO-251
AOI600A70R,IPAK/TO-251
AOI66406,IPAK/TO-251
AOI7N60,IPAK/TO-251
AOI7N65,IPAK/TO-251
AOI7S65,IPAK/TO-251
AOI8N25,IPAK/TO-251
AOI9N50,IPAK/TO-251
AOK040A60,TO-247
AOK042A60FD,TO-247
AOK050V60A7,TO-247
AOK065A60,TO-247
AOK065A60FD,TO-247
AOK095A60,TO-247
AOK10N90,TO-247
AOK125A60,TO-247
AOK160A60,TO-247
AOK18N65,TO-247
AOK20N60,TO-247
AOK20N60L,TO-247
AOK20S60,TO-247
AOK20S60L,TO-247
AOK22N50,TO-247
AOK22N50L,TO-247
AOK2500L,TO-247
AOK27S60,TO-247
AOK27S60L,TO-247
AOK29S50,TO-247
AOK40N30,TO-247
AOK42S60,TO-247
AOK42S60L,TO-247
AOK53S60,TO-247
AOK5N100,TO-247
AOK60N30,TO-247
AOK60N30L,TO-247
AOK66518,TO-247
AOK66613,TO-247
AOK66914,TO-247
AOK8N80,TO-247
AOK9N90,TO-247
AOT095A60L,TO-220
AOT10N60,TO-220
AOT10N65,TO-220
AOT10T60P,TO-220
AOT1100L,TO-220
AOT11C60,TO-220
AOT11C60P,TO-220
AOT11N60,TO-220
AOT11N70,TO-220
AOT11S60,TO-220
AOT11S60L,TO-220
AOT11S65,TO-220
AOT125A60L,TO-220
AOT12N30,TO-220
AOT12N40,TO-220
AOT12N50,TO-220
AOT12N60,TO-220
AOT12N60FD,TO-220
AOT12N65,TO-220
AOT13N50,TO-220
AOT1404L,TO-220
AOT144LF2,TO220F
AOT14N50,TO-220
AOT14N50FD,TO-220
AOT15S60,TO-220
AOT15S60L,TO-220
AOT15S65,TO-220
AOT15S65L,TO-220
AOT1606L,TO-220
AOT1608L,TO-220
AOT160A60L,TO-220
AOT16N50,TO-220
AOT190A60CL,TO-220
AOT1N60,TO-220
AOT20C60P,TO-220
AOT20C60PL,TO-220
AOT20N25,TO-220
AOT20N25L,TO-220
AOT20N60,TO-220
AOT20S60,TO-220
AOT20S60L,TO-220
AOT210L,TO-220
AOT2140L,TO-220
AOT2142L,TO-220
AOT2144L,TO220
AOT2146L,TO-220
AOT22N50,TO-220
AOT240L,TO-220
AOT2500L,TO-220
AOT2502L,TO-220
AOT254L,TO-220
AOT25S65,TO-220
AOT25S65L,TO-220
AOT2606L,TO-220
AOT2608L,TO-220
AOT260L,TO-220
AOT2610L,TO-220
AOT2618L,TO-220
AOT262L,TO-220
AOT264L,TO-220
AOT266L,TO-220
AOT270AL,TO-220
AOT270L,TO-220
AOT27S60,TO-220
AOT27S60L,TO-220
AOT280,TO-220
AOT280A60L,TO-220
AOT280L,TO-220
AOT282L,TO-220
AOT284L,TO-220
AOT286L,TO-220
AOT288L,TO-220
AOT2904,TO-220
AOT2906,TO-220
AOT290L,TO-220
AOT2910L,TO-220
AOT2916L,TO-220
AOT2918L,TO-220
AOT292,TO-220
AOT292L,TO-220
AOT296L,TO-220
AOT298L,TO-220
AOT29S50,TO-220
AOT2N60,TO-220
AOT360A70L,TO-220
AOT380A60CL,TO-220
AOT3N100,TO-220
AOT3N100L,TO-220
AOT3N50,TO-220
AOT3N60,TO-220
AOT400,TO-220
AOT400L,TO-220
AOT402,TO-220
AOT402L,TO-220
AOT404,TO-220
AOT404L,TO-220
AOT410L,TO-220
AOT412,TO-220
AOT412L,TO-220
AOT414,TO-220
AOT416,TO-220
AOT418L,TO-220
AOT424,TO-220
AOT424L,TO-220
AOT426,TO-220
AOT426L,TO-220
AOT428,TO-220
AOT428L,TO-220
AOT42S60,TO-220
AOT42S60L,TO-220
AOT430,TO-220
AOT440,TO-220
AOT450A70L,TO-220
AOT460,TO-220
AOT462,TO-220
AOT462L,TO-220
AOT466L,TO-220
AOT470,TO-220
AOT472,TO-220
AOT474,TO-220
AOT474L,TO-220
AOT480L,TO-220
AOT482L,TO-220
AOT4N60,TO-220
AOT4S60,TO-220
AOT500,TO-220
AOT502,TO-220
AOT5N100,TO-220
AOT5N50,TO-220
AOT5N60,TO-220
AOT600A60L,TO-220
AOT600A70FL,TO-220
AOT600A70L,TO-220
AOT66518L,TO-220
AOT66613L,TO-220
AOT66616L,TO-220
AOT66620L,TO-220
AOT66811L,TO-220
AOT66914L,TO-220
AOT66916L,TO-220
AOT66918L,TO-220
AOT66919L,TO-220
AOT66920L,TO-220
AOT780A70L,TO-220
AOT7N60,TO-220
AOT7N65,TO-220
AOT7N70,TO-220
AOT7S60,TO-220
AOT7S65L,TO-220
AOT8N50,TO-220
AOT8N60,TO-220
AOT8N65,TO-220
AOT8N80,TO-220
AOT9600,TO-220
AOT9602,TO-220
AOT9604,TO-220
AOT9606,TO-220
AOT9608,TO-220
AOT9610,TO-220
AOT9N40,TO-220
AOT9N50,TO-220
AOT9N70,TO-220
AOTF095A60L,TO-220F
AOTF10N50FD,TO-220F
AOTF10N60,TO-220F
AOTF10N65,TO-220F
AOTF10N90,TO-220F
AOTF10T60,TO-220F
AOTF10T60P,TO-220F
AOTF10T60PL,TO-220F
AOTF11C60,TO-220F
AOTF11C60P,TO-220F
AOTF11C60PL,TO-220F
AOTF11N60,TO-220F
AOTF11N62,TO-220F
AOTF11N70,TO-220F
AOTF11S60,TO-220F
AOTF11S65,TO-220F
AOTF125A60L,TO-220F
AOTF12N30,TO-220F
AOTF12N50,TO-220F
AOTF12N60,TO-220F
AOTF12N60FD,TO-220F
AOTF12N65,TO-220F
AOTF12N65L,TO-220F
AOTF12T50P,TO-220F
AOTF12T50PL,TO-220F
AOTF12T60,TO-220F
AOTF12T60L,TO-220F
AOTF12T60P,TO-220F
AOTF12T60PL,TO-220F
AOTF13N50,TO-220F
AOTF14N50,TO-220F
AOTF14N50FD,TO-220F
AOTF15S60,TO-220F
AOTF15S65,TO-220F
AOTF15S65L,TO-220F
AOTF160A60L,TO-220F
AOTF16N50,TO-220F
AOTF18N65,TO-220F
AOTF190A60CL,TO-220F
AOTF190A60L,TO-220F
AOTF20C60,TO-220F
AOTF20C60P,TO-220F
AOTF20C60PL,TO-220F
AOTF20N40,TO-220F
AOTF20N60,TO-220F
AOTF20S60,TO-220F
AOTF20S60L,TO-220F
AOTF2142L,TO-220F
AOTF2144L,TO-220F
AOTF2146L,TO-220F
AOTF2210L,TO-220F
AOTF22N50,TO-220F
AOTF240L,TO-220F
AOTF256L,TO-220F
AOTF25S65,TO-220F
AOTF25S65L,TO-220F
AOTF2606L,TO-220F
AOTF260L,TO-220F
AOTF2610,TO-220F
AOTF2610L,TO-220F
AOTF2618L,TO-220F
AOTF262L,TO-220F
AOTF266L,TO-220F
AOTF27S60,TO-220F
AOTF27S60L,TO-220F
AOTF280A60L,TO-220F
AOTF286L,TO-220F
AOTF288L,TO-220F
AOTF290L,TO-220F
AOTF2910L,TO-220F
AOTF2916L,TO-220F
AOTF2918L,TO-220F
AOTF292L,TO-220F
AOTF296L,TO-220F
AOTF298L,TO-220F
AOTF29S50,TO-220F
AOTF29S50L,TO-220F
AOTF2N60,TO-220F
AOTF360A70L,TO-220F
AOTF380A60CL,TO-220F
AOTF3N100,TO-220F
AOTF3N100L,TO-220F
AOTF3N50,TO-220F
AOTF3N80,TO-220F
AOTF3N80L,TO-220F
AOTF3N90,TO-220F
AOTF3N90L,TO-220F
AOTF404,TO-220F
AOTF404L,TO-220F
AOTF409,TO-220F
AOTF409L,TO-220F
AOTF4126,TO-220F
AOTF4185,TO-220F
AOTF42S60,TO-220F
AOTF42S60L,TO-220F
AOTF450A70L,TO-220F
AOTF450L,TO-220F
AOTF454L,TO-220F
AOTF470,TO-220F
AOTF472,TO-220F
AOTF472L,TO-220F
AOTF474,TO-220F
AOTF474L,TO-220F
AOTF4N60,TO-220F
AOTF4N90,TO-220F
AOTF4S60,TO-220F
AOTF4T60P,TO-220F
AOTF5N100,TO-220F
AOTF5N50,TO-220F
AOTF5N50FD,TO-220F
AOTF600A60L,TO-220F
AOTF600A70FL,TO-220F
AOTF600A70L,TO-220F
AOTF66613L,TO-220F
AOTF66616L,TO-220F
AOTF66811L,TO-220F
AOTF66919L,TO-220F
AOTF66920L,TO-220F
AOTF6N90,TO-220F
AOTF780A70L,TO-220F
AOTF7N60,TO-220F
AOTF7N60FD,TO-220F
AOTF7N65,TO-220F
AOTF7N70,TO-220F
AOTF7S60,TO-220F
AOTF7S65,TO-220F
AOTF7S65L,TO-220F
AOTF7T60,TO-220F
AOTF7T60P,TO-220F
AOTF7T60PL,TO-220F
AOTF8N50,TO-220F
AOTF8N60,TO-220F
AOTF8N65,TO-220F
AOTF8N80,TO-220F
AOTF8T50P,TO-220F
AOTF8T50PL,TO-220F
AOTF9606,TO-220F
AOTF9608,TO-220F
AOTF9610,TO-220F
AOTF9N50,TO-220F
AOTF9N70,TO-220F
AOTF9N70L,TO-220F
AOTF9N90,TO-220F
AOTL42A60,TOLL
AOTL42A60E,TOLL
AOTL66401,TOLL
AOTL66515,TOLL
AOTL66518,TOLL
AOTL66608,TOLL
AOTL66610,TOLL
AOTL66810,TOLL
AOTL66912,TOLL
AOTL66918,TOLL
AOU1N60,IPAK/TO-251
AOU2N60,IPAK/TO-251
AOU2N60A,IPAK/TO-251
AOU3N50,IPAK/TO-251
AOU3N60,IPAK/TO-251
AOU400,IPAK/TO-251
AOU400L,IPAK/TO-251
AOU401,IPAK/TO-251
AOU401L,IPAK/TO-251
AOU402,IPAK/TO-251
AOU402L,IPAK/TO-251
AOU403,IPAK/TO-251
AOU403L,IPAK/TO-251
AOU404,IPAK/TO-251
AOU404L,IPAK/TO-251
AOU405,IPAK/TO-251
AOU405L,IPAK/TO-251
AOU408,IPAK/TO-251
AOU408L,IPAK/TO-251
AOU412,IPAK/TO-251
AOU412L,IPAK/TO-251
AOU413,IPAK/TO-251
AOU413L,IPAK/TO-251
AOU414,IPAK/TO-251
AOU4144,IPAK/TO-251
AOU414L,IPAK/TO-251
AOU417,IPAK/TO-251
AOU417L,IPAK/TO-251
AOU436,IPAK/TO-251
AOU438,IPAK/TO-251
AOU438L,IPAK/TO-251
AOU448,IPAK/TO-251
AOU448L,IPAK/TO-251
AOU452,IPAK/TO-251
AOU452A,IPAK/TO-251
AOU452L,IPAK/TO-251
AOU454,IPAK/TO-251
AOU454L,IPAK/TO-251
AOU456,IPAK/TO-251
AOU456L,IPAK/TO-251
AOU460,IPAK/TO-251
AOU460L,IPAK/TO-251
AOU4N60,IPAK/TO-251
AOU4S60,IPAK/TO-251
AOU7S65,IPAK/TO-251
AOW10N60,I²PAK/TO-262
AOW10N65,I²PAK/TO-262
AOW10T60,I²PAK/TO-262
AOW10T60P,I²PAK/TO-262
AOW11N60,I²PAK/TO-262
AOW11S60,I²PAK/TO-262
AOW11S65,I²PAK/TO-262
AOW12N50,I²PAK/TO-262
AOW12N60,I²PAK/TO-262
AOW12N65,I²PAK/TO-262
AOW14N50,I²PAK/TO-262
AOW15S60,I²PAK/TO-262
AOW15S65,I²PAK/TO-262
AOW20C60,I²PAK/TO-262
AOW20S60,I²PAK/TO-262
AOW2500,I²PAK/TO-262
AOW2502,I²PAK/TO-262
AOW25S65,I²PAK/TO-262
AOW284,I²PAK/TO-262
AOW290,I²PAK/TO-262
AOW2918,I²PAK/TO-262
AOW292,I²PAK/TO-262
AOW296,I²PAK/TO-262
AOW298,I²PAK/TO-262
AOW29S50,I²PAK/TO-262
AOW410,I²PAK/TO-262
AOW418,I²PAK/TO-262
AOW480,I²PAK/TO-262
AOW482,I²PAK/TO-262
AOW4S60,I²PAK/TO-262
AOW66412,I²PAK/TO-262
AOW7S60,I²PAK/TO-262
AOW7S65,I²PAK/TO-262
AOY2610E,IPAK/TO-251
AOY2N60,IPAK/TO-251
AOY423,IPAK/TO-251
AOY514,IPAK/TO-251
AOY516,IPAK/TO-251
AOY526,IPAK/TO-251
AOY526L,IPAK/TO-251
AOY528,IPAK/TO-251
AOY528L,IPAK/TO-251
AOY66923,IPAK/TO-251
APL1001J,ISOTOP，SOT-227
APL501J,ISOTOP，SOT-227
APL502B2,PLUS247
APL502J,ISOTOP，SOT-227
APL502L,TO-3PL/TO-264
APL602B2,PLUS247
APL602J,ISOTOP，SOT-227
APL602L,TO-3PL/TO-264
APT100-101DN,TO-264/TO-3PL
APT1001R1AN,TO-3
APT1001R1BN,TO-247
APT1001R1BNR,TO-247
APT1001R1DN,TO-264/TO-3PL
APT1001R1GN,TO-220
APT1001R1HN,TO-220
APT1001R2AN,TO-3
APT1001R2BN,TO-264/TO-3PL
APT1001R2HN,TO-264/TO-3PL
APT1001R3AN,TO-3
APT1001R3BN,TO-247
APT1001R3HN,TO-220
APT1001R6BFLL,TO-247
APT1001R6BN,TO-247
APT1001R6SFLL,D3PAK，TO-268
APT1001RAN,TO-3
APT1001RBN,TO-247
APT1001RBNR,TO-247
APT1001RBVFR,TO-247
APT1001RDN,TO-264/TO-3PL
APT1001RSLC,D3PAK，TO-268
APT1001RSVFR,D3PAK，TO-268
APT1001RSVR,TO-268
APT10021JFLL,ISOTOP，SOT-227
APT10021JLL,ISOTOP，SOT-227
APT10025JLC,ISOTOP，SOT-227
APT10025JVFR,ISOTOP，SOT-227
APT10025JVR,ISOTOP，SOT-227
APT10026JFLL,ISOTOP，SOT-227
APT10026JLL,ISOTOP，SOT-227
APT10026JN,ISOTOP，SOT-227
APT10026L2FLL,TO-3PL/TO-264
APT10026L2LL,TO-264MAX
APT1002R4AN,TO-3
APT1002R4BN,TO-247
APT1002R4CN,TO-220
APT1002RAN,TO-3
APT1002RBN,TO-247
APT1002RCN,TO-220
APT1002RDN,TO-220
APT10030L2VFR,TO-264MAX
APT10030L2VR,TO-264MAX
APT10035B2FLL,PLUS247
APT10035JFLL,ISOTOP，SOT-227
APT10035JLL,ISOTOP，SOT-227
APT10035LFLL,TO-3PL/TO-264
APT10035LLL,TO-3PL/TO-264
APT1003R5AN,TO-3
APT1003R5BN,TO-247
APT1003R5CN,TO-247
APT1003R5DN,TO-264/TO-3PL
APT1003R5GN,TO-220
APT1003RBFLL,TO-247
APT1003RBLL,TO-247
APT1003RKLL,TO-220
APT1003RSFLL,TO-268
APT1003RSLL,TO-268
APT10040B2VFR,PLUS247
APT10040B2VR,PLUS247
APT10040LVFR,TO-3PL/TO-264
APT10040LVR,TO-3PL/TO-264
APT10043JVR,ISOTOP，SOT-227
APT10045B2FLL,PLUS247
APT10045B2LL,PLUS247
APT10045JFLL,ISOTOP，SOT-227
APT10045JLL,ISOTOP，SOT-227
APT10045LFLL,TO-3PL/TO-264
APT10045LLL,TO-3PL/TO-264
APT1004R2AN,TO-3
APT1004R2BN,TO-220
APT1004R2CN,TO-220
APT1004R2GN,TO-220
APT1004R2KN,TO-220
APT1004RAN,TO-3
APT1004RBN,TO-264/TO-3PL
APT1004RCN,TO-220
APT1004RDN,TO-220
APT1004RGN,TO-220
APT1004RKN,TO-220
APT10050B2LC,PLUS247
APT10050B2VFR,PLUS247
APT10050B2VR,PLUS247
APT10050JLC,ISOTOP，SOT-227
APT10050JN,ISOTOP，SOT-227
APT10050JVFR,ISOTOP，SOT-227
APT10050JVR,ISOTOP，SOT-227
APT10050LLC,TO-3PL/TO-264
APT10050LVFR,TO-3PL/TO-264
APT10050LVR,TO-3PL/TO-264
APT10053LNR,TO-3PL/TO-264
APT10078BFLL,TO-247
APT10078BLL,TO-247
APT10078SLL,TO-268
APT10086BLC,TO-247
APT10086BVFR,TO-247
APT10086BVR,TO-247
APT10086SLC,D3PAK，TO-268
APT10086SVR,D3PAK，TO-268
APT10090BFLL,TO-247
APT10090BLL,TO-247
APT10090SFLL,D3PAK，TO-268
APT10090SLL,D3PAK，TO-268
APT1009SLL,TO-268
APT100F50J,ISOTOP，SOT-227
APT100M50J,ISOTOP，SOT-227
APT106N60B2C6,PLUS247
APT106N60LC6,TO-3PL/TO-264
