产品网址：https://www.vmdsemi.com/home/product.html
产品结构：root->杭州唯美地半导体有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|开关产品|无|无|

No.,VMD Part No.,Package,VDS_Max. (V),ID_Max. (A),VTH (V)  Min.,VTH (V)  Typ.,VTH (V)  Max.,RDS(ON) @  VGS=1.8V (mΩ)  Typ.,RDS(ON) @  VGS=1.8V (mΩ)  Max.,RDS(ON) @  VGS=2.5V (mΩ)  Typ.,RDS(ON) @  VGS=2.5V (mΩ)  Max.,RDS(ON) @  VGS=4.5V (mΩ)  Typ.,RDS(ON) @  VGS=4.5V (mΩ)  Max.,RDS(ON) @  VGS=10V (mΩ)  Typ.,RDS(ON) @  VGS=10V (mΩ)  Max.,ESD,Qg_Typ. (nC),Ciss_Typ. (pF)
41,VUDD003R600PA,DFNWB2×2-6L-J,-30,-4.1,-1,-1.7,-3,／,／,／,／,60,87,45,60,NO,／,700
42,VUDD003R250PA,DFNWB2×2-6L-J,-30,-9,-1,-1.5,-3,／,／,／,／,27,35,19,25,NO,25,1400
43,VUDE003R130PA,DFN3*3-8L,-30,-35,-1,-1.5,-3,／,／,／,／,11,22,8,13,NO,62,3900
44,VUPA003R130PA,PDFN3.3*3.3-8L,-30,-35,-1,-1.5,-3,／,／,／,／,11,22,8,13,NO,62,3900
45,VUPA003R080PA,PDFN3.3*3.3-8L,-30,-45,-1,-1.5,-3,／,／,／,／,10,13,6.5,8,NO,64.5,3141
46,VUPB003R075PA,PDFN5*6-8L,-30,-75,-1,-1.5,-3,／,／,／,／,7.7,12,5.7,7.5,NO,50,3062
47,VUDE003R086PA,DFN3.3*3.3-8L,-30,-40,-1,-1.5,-3,／,／,／,／,8.5,13,6.8,8.6,NO,60,3840
48,VUSA003R600PA,SOP8,-30,-5.1,-1,-1.5,-2,／,／,／,／,62,105,42,60,NO,40,／
49,VUSA003R460PA,SOP8,-30,-6.5,-1,-1.4,-2.5,／,／,／,／,46,72,29,46,NO,14,850
50,VUSA003R240PA,SOP8,-30,-9.1,-1,-1.5,-3,／,／,／,／,26,35,18,24,NO,25,1400
51,VUSA003R240PB,SOP8,-30,-9.1,-1,-1.5,-3,／,／,／,／,20,35,14,24,NO,30,1700
52,VUSF003R15APA,SOT-223,-30,-3.4,-1,-1.5,-3,／,／,／,／,125,250,85,150,NO,5.8,266
53,VUSB003R15APA,SOT-23,-30,-1.9,-1,-1.5,-3,／,／,／,／,125,250,85,150,NO,5.8,266
54,VUSB003R880PA,SOT-23,-30,-2.7,-1,-1.5,-3,／,／,／,／,90,138,60,88,NO,4.1,340
55,VUSB003R600PA,SOT-23,-30,-4.2,-1,-1.6,-3,／,／,／,／,57,87,45,60,NO,10,572
56,VUSB003R650PA,SOT-23,-30,-4.2,-0.7,-0.9,-1.3,／,／,72,90,52,75,43,65,NO,／,954
57,VUSB003R460PA,SOT-23,-30,-5,-1,-1.5,-2.5,／,／,／,／,55,72,35,46,NO,12,850
58,VUSC003R600PA,SOT-23-3L,-30,-4.2,-1,-1.6,3,／,／,／,／,57,87,45,60,NO,10,572
59,VUSC003R500PA,SOT-23-3L,-30,-4.2,-0.7,-0.9,-1.3,／,／,60,85,40,60,33,50,NO,／,1050
60,VUSE003R600PA,SOT-23-6L,-30,-4.2,-1,-1.5,-3,／,／,／,／,62,87,47,60,NO,6,550
61,VUSK003R80APA,SOT-523,-30,-0.45,-0.5,-1,-1.5,／,／,／,／,680,900,470,800,YES,1.94,48.4
62,VUTL003R180PA,TO-252,-30,-30,-1,-1.5,-2.5,／,／,／,／,19,30,14,18,NO,40.6,1961
63,VUPA003R160PA,PDFN3.3*3.3-8L,-30,-25,-1,-1.6,-3,／,／,／,／,16,31,11,16,NO,28,1367
64,VUTL003R074PA,TO-252,-30,-65,-1,-1.7,-3,／,／,／,／,8.8,14,5.5,7.4,NO,64.5,3141
65,VUSA004R150PA,SOP8,-40,-13,-1,-2,-3,／,／,／,／,16,22,11,15,NO,52,4121
66,VUSC004R820PA,SOT-23-3L,-40,-5.3,-1,-2.1,-3,／,／,／,／,98,126,63,82,NO,14,650
67,VUSE004R350PA,SOT-23-6L,-40,-7,-1.2,-1.5,-2.5,／,／,／,／,38,50,28,35,NO,11.5,1415
68,VUTL004R170PA,TO-252,-40,-40,-1,-2,-3,／,／,／,／,／,／,11,17,NO,83,4100
69,VUTL004R850PA,TO-252,-40,-10,-1,-2.1,-3,／,／,／,／,98,126,63,85,NO,14,445
70,VUPA004R150PA,PDFN3.3*3.3-8L,-40,-30,-1,-1.7,-3,／,／,／,／,16,24,11,15,NO,57,2977
71,VUSB005R60BPA,SOT-23,-50,-0.13,-0.9,-1.6,-2.25,／,／,／,／,2700,7000,2300,6000,YES,0.59,30.4
72,VUSB005R50BPA,SOT-23,-50,-0.13,-0.9,-1.4,-2,／,／,／,／,1900,6000,1700,5000,NO,0.62,32.9
73,VUSB005R60BPB,SOT-23,-50,-0.13,-0.9,-1.6,-2,／,／,／,／,2700,7000,2300,6000,YES,／,22
74,VUSG005R50BPA,SOT-323,-50,-0.13,-0.9,-1.4,-2,／,／,／,／,1900,6000,1700,5000,NO,／,30
75,VUSG005R60BPA,SOT-323,-50,-0.13,-0.9,-1.6,-2,／,／,／,／,2700,7000,2300,6000,Y ES,／,22
76,VUPA006R290PA,PDFN3.3*3.3-8L,-60,-20,-1,-2,-3,／,／,／,／,／,／,24,29,NO,48,3285
77,VUSA006R980PA,SOP8,-60,-3,-1,-1.7,-2.5,／,／,／,／,90,120,75,98,NO,34,1255
78,VUSA006R360PA,SOP8,-60,-8,-1,-2,-3,／,／,／,／,／,／,25,36,NO,57,3018
79,VUSB006R16APA,SOT-23,-60,-1.6,-1,-1.8,-3,／,／,／,／,160,240,120,160,NO,7,350
80,VUSA006R780PA,SOP8,-60,-4,-1,-1.8,-3,／,／,／,／,66,100,60,78,NO,22,1148
81,VUTL006R18APA,TO-252,-60,-8,-1,-1.8,-3,／,／,／,／,160,215,120,175,NO,9.5,412
82,VUTL006R650PA,TO-252,-60,-18,-1,-2,-3,／,／,／,／,59,85,45,65,NO,28,1389
83,VUTL006R290PA,TO-252,-60,-50,-1,-2,-3,／,／,／,／,／,／,24,29,NO,53,3129
84,VUTL006R180PA,TO-252,-60,-65,-1,-2,-3,／,／,／,／,／,／,12,18,NO,119,6203
85,VUPB006R160PA,PDFN5*6-8L,-60,-70,-1,-1.9,-3,／,／,／,／,16,20,12,16,NO,41,2522
86,VUSB010R80APA,SOT-23,-100,-1,-1.5,-2.2,-3,／,／,／,／,650,1000,580,800,NO,3.2,388
87,VUTL010R17APA,TO-252,-100,-12,-1,-2,-3,／,／,／,／,／,／,145,168,NO,55,2926
88,VUTL010R550PA,TO-252,-100,-30,-1,-2,-3,／,／,／,／,48,65,42,55,NO,95,6616
89,VUPA004R140PA,PDFN3.3*3.3-8L,-40,-28,-1,-1.7,-2.5,/,/,/,/,13,18,10.4,14,NO,65,3108
90,VUSB004R900PA,SOT-23,-40,-5.3,-1,-1.7,-2.5,/,/,/,/,81,115,65,90,NO,12,531
91,VUTL004R170PB,TO-252,-40,-40,-1,-2,-3,／,／,／,／,／,／,11,17,NO,83,4155
92,VUSK002R85APA,SOT-523,-20,-0.5,-0.35,-0.62,-1.2,1350,2000,855,1200,580,850,／,／,YES,1.24,71
93,VUSA003R120PA,SOP8,-30,-12,-1,-1.6,-3,／,／,／,／,11,15,7,12,NO,63,3073
1,VFF070N03TA1,PDFN3.3*3.3-8L,30,45,1.5,／,2.5,10,12,5.6,7,NO,13.1,960,,,,
2,VFN070N03TA1,PDFN5*6-8L,30,45,1.5,／,2.5,10,12,5.2,6,NO,13.1,960,,,,
3,VFPA003R045NA,PDFN3.3*3.3-8L,30,32,1,1.8,3,4.3,5.9,3.6,4.5,NO,37,2162,,,,
4,VFPA003R070NA,PDFN3.3*3.3-8L,30,50,1.2,1.7,2.5,8.1,8.8,4.6,7,NO,10.2,1010,,,,
5,VFPB003R030NA,PDFN5*6-8L,30,85,1,1.8,3,3.5,5.3,2.3,3,NO,29.2,1984,,,,
6,VFPB003R016NA,PDFN5*6-8L,30,160,1,1.7,3,1.8,2.7,1.1,1.6,NO,53,3045,,,,
7,VFPB003R022NA,PDFN5*6-8L,30,120,1,1.7,3,2.4,3.2,1.7,2.2,NO,58,3114,,,,
8,VFPB003R070NA,PDFN5*6-8L,30,70,1.2,1.65,2.5,8.3,8.8,4.8,7,NO,10.2,1010,,,,
9,VFTL003R033NA,TO-252,30,110,1,1.7,3,3.6,5.4,2.5,3.3,NO,38.4,2158,,,,
10,VFN038N04TA1,PDFN5*6-8L,40,85,1.5,／,2.5,6,8,3.5,3.8,NO,36.6,2378,,,,
11,VFF038N04TA1,PDFN3.3*3.3-8L,40,85,1.5,／,2.5,6.5,9,3.8,5,NO,36.6,2378,,,,
12,VFTA004R020NA,TO-220,40,180,1,1.8,2.5,2,2.5,1.6,2,NO,115,7400,,,,
13,VFPA004R046NA,PDFN3.3*3.3-8L,40,50,1,1.6,3,4.6,6.4,3.6,4.6,NO,31,2166,,,,
14,VFPB004R035NA,PDFN5*6-8L,40,85,1,1.6,3,3.8,5.5,2.8,3.5,NO,31,2166,,,,
15,VFPB004R019NA,PDFN5*6-8L,40,160,1,1.7,3,2,3,1.4,1.9,NO,48,3106,,,,
16,VFPB004R030NA,PDFN5*6-8L,40,120,1,1.7,3,2.7,4.5,2,3,NO,48.5,3131,,,,
17,VFTA004R025NA,TO-220,40,120,1,1.7,3,1.9,3,1.7,2.5,NO,65,4279,,,,
18,VFPA4P5R029NA,PDFN3.3*3.3-8L,45,42,1,／,2.4,3.4,4.5,2.3,2.9,NO,45.6,2230,,,,
19,VFTL006R130NA,TO-252,60,47,1,／,2.5,13.5,17,9.6,13,NO,16,1056,,,,
20,VFTL006R100NA,TO-252,60,68,1,／,2.5,10,14,7.5,10,NO,17.9,1204,,,,
21,VFPB006R023NA,PDFN5*6-8L,60,200,1,／,2.5,2.8,3.5,2,2.3,NO,103.5,6649,,,,
22,VFTL006R060NA,TO-252,60,70,1,／,2.5,6.4,10,4.7,6,NO,30,2136,,,,
23,VFTA006R032NA,TO-220,60,200,2,2.8,4,／,／,2.5,3.2,NO,65,4165,,,,
24,VFPB006R026NA,PDFN5*6-8L,60,140,1,2,3,／,／,1.75,2.6,NO,118,6101,,,,
25,VFTA006R029NA,TO-220,60,170,1,2,3,／,／,2.45,2.9,NO,111,5950,,,,
26,VFPB6P8R030NA,PDFN5*6-8L,60,130,1,2.4,3,／,／,2.3,3,NO,50,3788,,,,
27,VFTL006R039NA,TO-252,60,150,1,2,3,4.4,6.5,3,3.9,NO,50,3788,,,,
28,VFPB006R033NA,PDFN5*6-8L,60,125,1,2,3,3.5,4.6,2.3,3.3,NO,99,4895,,,,
29,VFTP006R035NA,TO263,60,165,1.5,2.6,3.5,／,／,2.8,3.5,NO,50,3788,,,,
30,VFDE006R120NA,DFN3*3-8L,60,35,1,2,3,12,18,8.5,12,NO,19,1160,,,,
31,VFPA006R120NA,PDFN3.3*3.3-8L,60,35,1,2,3,12,18,8.5,12,YES,18.6,1261,,,,
32,VFTA006R039NA,TO-220,60,150,1,2.4,3,／,／,3.0,3.9,NO,50,3788,,,,
33,VFSA006R120NA,SOP8,60,16,1,2,3,12,18,8.5,12,YES,15,1100,,,,
34,VFPA006R110NA,PDFN3.3*3.3-8L,60,44,1.2,1.6,2.4,10.6,17,8.4,11,NO,18.5,1199,,,,
35,VFPB006R110NA,PDFN5*6-8L,60,44,1.2,1.6,2.4,10.5,17,8.2,11,NO,18.5,1189,,,,
36,VFSA006R110NA,SOP8,60,7.8,1.2,1.7,2.4,11.4,17,9,11,NO,18.5,1189,,,,
37,VFSA006R130NA,SOP8,60,13,1,1.6,2.5,12,24,10,13,NO,18.4,1097,,,,
38,VFPB006R070NA,PDFN5*6-8L,60,70,1.2,1.6,2.5,6.5,10,4.9,7,NO,34.4,2108,,,,
39,VFPB006R040NA,PDFN5*6-8L,60,120,1.2,1.7,2.5,3.3,6.5,2.6,4,NO,71.8,4611,,,,
40,VFTA006R040NA,TO-220,60,120,1.2,1.7,2.5,3.7,6.5,2.9,4,NO,71,4538,,,,
41,VFTP008R045NA,TO263,80,130,2,／,4,／,／,3.8,4.5,NO,101.6,8681,,,,
42,VFP045N08TA1,TO-220,80,130,2,／,4,／,／,3.8,4.5,NO,101.6,6111,,,,
43,VFB045N08TA1,TO263,80,130,2,／,4,／,／,3.8,4.5,NO,101.6,6111,,,,
44,VFP065N08TA1,TO-220,80,100,2,／,4,／,／,6,6.5,NO,53.2,4199,,,,
45,VFB065N08TA1,TO263,80,100,2,／,4,／,／,6,6.5,NO,53.2,4199,,,,
46,VFPB008R070NA,PDFN5*6-8L,80,90,2,3,4,／,／,5,7,NO,32,2559,,,,
47,VFTA008R065NB,TO-220,80,110,2,3,4,／,／,5,6.5,NO,39,2535,,,,
48,VFTA8P5R055NA,TO-220,85,120,2,3,4,／,／,4.4,5.5,NO,60,4193,,,,
49,VFPB010R070NA,PDFN5*6-8L,100,84,1.2,1.8,2.4,7.2,10,5.9,7,NO,16.9,1802,,,,
50,VFPB010R050NA,PDFN5*6-8L,100,115,2,／,4,／,／,4.3,5,NO,70.2,5198,,,,
51,VFPB010R100NA,PDFN5*6-8L,100,70,1,／,2.5,9.5,12,8.5,10,NO,6.5,2604,,,,
52,VFSA010R120NA,SOP8,100,12,1.5,／,2.5,12,16,9.2,12,NO,32.1,1918,,,,
53,VFSA010R130NA,SOP8,100,12,1.2,1.8,2.5,14,16,11,13,NO,36,2937,,,,
54,VFPB010R130NA,PDFN5*6-8L,100,47,1.2,/,2.5,13,17.5,10,13,NO,36,2759,,,,
55,VFPB010R065NA,PDFN5*6-8L,100,100,1.4,1.8,2.5,5.3,8.5,4.4,6.5,NO,73.2,5015,,,,
56,VFSA010R120NB,SOP8,100,10,1,／,2.5,12.8,15,10.5,12,NO,25.3,1570,,,,
57,VFTA010R030NA,TO-220,100,180,2,／,4,／,／,2.5,3,NO,158.8,10953,,,,
58,VFTA010R046NA,TO-220,100,130,2,／,4,／,／,4,4.6,NO,101.6,6125,,,,
59,VFTS010R065NA,TO-220,100,155,1.4,1.9,2.5,6.5,8.5,4.2,6.5,NO,56,4225,,,,
60,VFTD010R050NA,TO-220,100,130,2,／,4,／,／,4.6,5,NO,60.6,4333,,,,
61,VFTD010R050NB,TO-220F,100,130,2,／,4,／,／,4,5,NO,91.7,6388.6,,,,
62,VFTL010R100NA,TO-252,100,60,1.5,／,2.5,12,14,9,10,NO,28.9,1998,,,,
63,VFTP010R046NA,TO263,100,130,2,／,4,／,／,4,4.6,NO,101.6,6125,,,,
64,VFD080N10TA1,TO-252,100,75,1.5,／,2.5,7.6,13,6.3,8,NO,33.9,2350,,,,
65,VFPB010R080NA,PDFN5*6-8L,100,79,1.2,1.8,2.5,8.5,10,6.8,8,NO,42.2,2362,,,,
66,VFD120N10TA1,TO-252,100,60,1,／,2.5,13,20,10,12,NO,24.2,1379,,,,
67,VFN120N10TA1,PDFN5*6-8L,100,60,1,／,2.5,13,20,10,12,NO,24.2,1379,,,,
68,VFTV010R013NA,TOLL,100,395,2,／,4,／,／,1.05,1.3,NO,231,13000,,,,
69,VFTV010R020NA,TOLL,100,325,2.5,3.0,3.5,／,／,1.5,2.0,NO,208,16340,,,,
70,VFPB010R095NA,PDFN5*6-8L,100,60,1.2,1.8,2.6,11.3,13.5,8.2,9.5,NO,41.8,2122,,,,
71,VFTP010R045NC,TO263,100,185,1.2,1.8,2.6,6.2,7.5,3.6,4.5,NO,74.5,3470,,,,
72,VFTA010R045NA,TO-220,100,130,2.2,2.7,3.2,／,／,3.6,4.5,NO,91,5440,,,,
73,VFTP010R045NB,TO263,100,130,2.2,2.7,3.2,／,／,3.6,4.5,NO,91,5440,,,,
74,VFTP010R050NA,TO263,100,145,2,3,4,／,／,4.2,5,NO,65.5,3610,,,,
75,VFPB010R050NB,PDFN5*6-8L,100,135,1.4,1.9,2.4,5.7,7.5,3.8,5,NO,56,4240,,,,
76,VFTL010R750NA,TO-252,100,15,1.2,/,2.5,60,90,50,75,NO,6.5,310,,,,
77,VFTP010R048NA,TO263,100,150,2,2.8,4,／,／,4.3,4.8,NO,73,4125,,,,
78,VFTP010R065NA,TO263,100,155,1.4,1.9,2.5,6.5,8.5,4.2,6.5,NO,14,4225,,,,
79,VFTP010R035NA,TO263,100,190,2,3,4,／,／,2.8,3.5,NO,103.4,5500,,,,
80,VFSA010R089NA,SOP8,100,17.6,1,1.6,2.5,8.5,11,6.8,8.9,NO,52.7,2540,,,,
81,VFTP010R039NA,TO263,100,120,2,3,4,／,／,3,3.9,NO,115,5551,,,,
82,VFPB010R053NA,PDFN5*6-8L,100,120,2,3,4,／,／,4,5.3,NO,104.3,4023,,,,
83,VFPB010R048NA,PDFN5*6-8L,100,125,2.3,3.3,3.9,／,／,3.8,4.8,NO,47,3645,,,,
84,VFPB010R060NA,PDFN5*6-8L,100,130,2.4,2.8,3.9,／,／,4.3,6,NO,52,3560,,,,
85,VFPB010R067NA,PDFN5*6-8L,100,120,1.4,1.9,2.4,6.7,9.4,4.8,6.7,NO,56,4240,,,,
86,VFSA010R110NA,SOP8,100,14,1,2.5,3,／,／,8,11,NO,39.8,1929,,,,
87,VFTA010R110NA,TO-220,100,60,1,2.5,3,／,／,8,11,NO,37.7,1863,,,,
88,VFTA010R077NA,TO-220,100,87,1,2,3,／,／,6.7,7.7,NO,55,2915,,,,
89,VFTA010R052NA,TO-220,100,125,1,2,3,／,／,4.3,5.2,NO,57.2,3465,,,,
90,VFTL010R077NA,TO-252,100,80,1,2,3,／,／,6.7,7.7,NO,55,2915,,,,
91,VFPA010R180NA,PDFN3.3*3.3-8L,100,43,1,1.7,3,19,25,14,18,NO,17.6,1177,,,,
92,VFPA010R250NA,PDFN3.3*3.3-8L,100,35,1,1.5,3,25,33,19,25,NO,14.6,781,,,,
93,VFSB010R33ANA,SOT-23,100,2.3,0.8,1.2,1.6,280,450,230,330,NO,2.5,112,,,,
94,VFPB010R085NA,PDFN5*6-8L,100,75,1,2,3,7.5,12.5,6.5,8.5,NO,50.1,3047,,,,
95,VFPB010R850MA,PDFN5*6-8L,100,10,1,1.7,3,／,／,70,85,NO,3,221,,,,
96,VFTF010R022NA,TO-247,100,260,2.6,3.1,3.6,／,／,1.7,2.2,NO,202,13200,,,,
97,VFTA010R039NA,TO-220,100,145,2,2.9,4,／,／,3,3.9,NO,80.9,5673,,,,
98,VFN080N10TA1,PDFN5*6-8L,100,70,1.5,／,2.5,7.6,10,6.3,8,NO,33.9,2350,,,,
99,VFTV010R015NA,TOLL,100,380,2,3,4,／,／,1.2,1.5,NO,211,11650,,,,
100,VFO120N10TA1,SOP8,100,10,1,／,2.5,13,20,10,12,NO,24.2,1379,,,,
101,VFTA010R083NA,TO-220,100,120,1.2,2,2.5,7.7,10,6.6,8.3,NO,48.8,3400,,,,
102,VFPB012R070NA,PDFN5*6-8L,120,80,2.5,／,4,／,／,5.5,7,NO,73.6,5305,,,,
103,VFPB012R140NA,PDFN5*6-8L,120,60,1,2,2.5,9.1,16,7.7,14,NO,38.1,2245,,,,
104,VFTA012R140NA,TO-220,120,60,1,2,2.5,9.1,16,7.7,14,NO,38.1,2245,,,,
105,VFTA015R074NA,TO-220,150,195,2.6,3.1,3.6,,,5.7,7.4,NO,120,8895,,,,
106,VFTV015R051NA,TOLL,150,295,2.5,3,3.5,／,／,3.9,5.1,NO,143,10585,,,,
107,VFTT020R340NA,TO-220,200,36,2,3.2,4,45.3,57,26.7,34,NO,22.1,1792,,,,
108,VFTA020R130NA,TO-220,200,150,2.6,3.1,3.6,／,／,10,13,NO,62,4650,,,,
109,VFTA010R080NA,TO-220,100,95,1.2,1.65,2.4,7.4,10,5.8,8,NO,32.8,1880,,,,
174,VUSB003R600NA,SOT-23,30,3.3,1,1.6,3,／,／,／,／,43,75,33,60,NO,4.5,235
1,VSTJ060R22BNA,TO-251,600,1.9,2.6,3.5,4.4,1820,2200,1.5,50,,,,,,,
2,VSTL060R22BNA,TO-252,600,1.9,2.6,3.5,4.4,1820,2200,1.5,50,,,,,,,
3,VSTD060R22BNA,TO-220F,600,1.9,2.6,3.5,4.4,1820,2200,1.5,50,,,,,,,
4,VSTL065R58ANC,TO-252,650,8,2,/,4.0,480.0,580.0,12.4,587,,,,,,,
5,VSTD065R58ANC,TO-220F,650,8,2,/,4.0,480.0,580.0,12.4,587,,,,,,,
6,VSTD065R58ANB,TO-220F,650,8,2,/,4.0,520.0,580.0,9.5,464,,,,,,,
7,VSTA065R29ANA,TO-220,650,15,2.0,/,4.0,255.0,290.0,23.62,986,,,,,,,
8,VSTA065R38ANA,TO-220,650,11,2.9,/,3.9,350.0,380.0,17.5,752,,,,,,,
9,VSTA065R44ANA,TO-220,650,10,3.0,/,4.5,385.0,440.0,16.1,691,,,,,,,
10,VSTA065R58ANA,TO-220,650,8,2.0,/,4.0,535.0,580.0,12.37,485,,,,,,,
11,VSTA065R76ANA,TO-220,650,7,2.0,/,4.0,710.0,760.0,9.9,381,,,,,,,
12,VSTD065R29ANA,TO-220F,650,15,2.0,/,4.0,266.0,290.0,21.67,1032,,,,,,,
13,VSTD065R38ANA,TO-220F,650,11,2.9,/,3.9,360.0,380.0,15.6,747,,,,,,,
14,VSTD065R44ANA,TO-220F,650,10,2.9,/,3.9,395.0,440.0,14.2,689,,,,,,,
15,VSTD065R59ANA,TO-220F,650,8,2.0,/,4.0,560.0,590.0,11.3,501,,,,,,,
16,VSTD065R78ANA,TO-220F,650,7,2.0,/,4.0,740.0,780.0,9.1,385,,,,,,,
17,VSTD065R18AND,TO-220F,650,21.2,2.4,3.4,4.4,160,180,38,1630,,,,,,,
18,VSTA065R18AND,TO-220,650,21.2,2.4,3.4,4.4,160,180,38,1630,,,,,,,
19,VSTN065R18AND,TO-262,650,21.2,2.4,3.4,4.4,160,180,38,1630,,,,,,,
20,VSTF065R18AND,TO-247,650,21.2,2.4,3.4,4.4,160,180,38,1630,,,,,,,
21,VSTJ065R18BNA,TO-251,650,2.7,2.7,3.5,4.3,1500,1800,4.3,160,,,,,,,
22,VSTL065R18BNA,TO-252,650,2.7,2.7,3.5,4.3,1500,1800,4.3,160,,,,,,,
23,VSTD065R18BNA,TO-220F,650,2.7,2.7,3.5,4.3,1500,1800,4.3,160,,,,,,,
24,VSTD065R38ANB,TO-220F,650,11,2.0,2.7,4.0,325.0,380.0,12.2,564,,,,,,,
25,VSTF065R350NB,TO-247,650,80,2.0,3.0,4.0,31.0,35.0,134,8278,,,,,,,
26,VSTF065R380NB,TO-247,650,80,2.0,3.0,4.0,34.0,38.0,126.4,7784,,,,,,,
27,VSTD065R20ANA,TO-220F,650,20,2.0,3.2,4.0,158.0,200.0,32.03,1558,,,,,,,
28,VSTD065R15ANA,TO-220F,650,22,2.8,3.7,4.2,123.0,150.0,39.96,2030,,,,,,,
29,VSTF065R10ANA,TO-247,650,47,3.0,3.7,4.0,72.0,100.0,71.9,3516,,,,,,,
30,VSTF065R900NA,TO-247,650,50,2.8,3.7,4.2,70.0,90.0,70.92,3667,,,,,,,
31,VSTD065R76ANB,TO-220F,650,7,2.0,3.2,4.5,630.0,760.0,7.27,325,,,,,,,
32,VSTF065R10ANB,TO-247,650,47,3.0,4.0,5.0,74.0,100.0,69.6,3564,,,,,,,
33,VSTF065R11ANB,TO-247,650,40,3.0,4.0,5.0,92.0,110.0,54.5,2818,,,,,,,
34,VSTF065R700NB,TO-247,650,54,3.0,4.0,5.0,53.0,70.0,88.8,4840,,,,,,,
35,VSTF065R900NB,TO-247,650,50,3.0,4.0,5.0,72.0,90.0,70.7,3700,,,,,,,
36,VSTL065R15BNB,TO-252,650,5,3.0,4.3,5.0,1417.0,1500.0,5.57,232,,,,,,,
37,VSTD065R13ANA,TO-220F,650,25,2.0,3.8,4.5,108.0,130.0,44.84,2250,,,,,,,
38,VSTF065R11ANA,TO-247,650,40,2.8,3.7,4.2,87.0,110.0,57.6,2780,,,,,,,
39,VSTF065R700NA,TO-247,650,54,2.5,3.6,4.5,50.0,70.0,90.2,4752,,,,,,,
40,VSTJ065R20BNA,TO-251,650,3.5,3.0,4.0,5.0,1638.0,2000.0,4.83,196,,,,,,,
41,VSTL065R15BNA,TO-252,650,5,3.0,4.0,5.0,1300.0,1500.0,6.1,230,,,,,,,
42,VSTJ065R20BNB,TO-251,650,3.5,3.0,4.3,5.0,1770.0,2000.0,4.68,200,,,,,,,
43,VSDH065R20ANA,DFN8*8,650,20,3.0,4.0,5.0,172.0,200.0,33.58,1640,,,,,,,
44,VSTD065R13ANB,TO-220F,650,25,3.0,4.0,5.0,118.0,130.0,43.24,2244,,,,,,,
45,VSTD065R15ANB,TO-220F,650,22,3.0,4.0,5.0,130.0,150.0,38.39,2067,,,,,,,
46,VSTD065R20ANC,TO-220F,650,20,3.0,4.0,5.0,160.0,200.0,31.77,1636,,,,,,,
47,VSTD065R46ANB,TO-220F,650,10,3.0,4.2,5.0,410.0,460.0,14.59,705,,,,,,,
1,WLPA2P5R310PA,PDFN3.3X3.3-8L,P,-25,-22,-0.4,/,-1,/,/,23.9,31,16.2,937,,,,
2,WLPB2P5R286PA,PDFN5*6-8L,P,-25,-24,-0.4,/,-1,/,/,22.9,28.6,31.8,1821,,,,
3,VTGA056N18TA,DFN3*3,N,16,22,0.35,0.55,0.85,/,/,11,14,28.7,1247,,,,
4,VTGA066N02TA,DFN3*3,N,20,22,0.4,0.6,0.9,/,/,14,17,9,383,,,,
5,VTGA060N02TA,DFN3*3,N,18,22,0.35,0.55,0.85,/,/,11.4,14,27.7,1207,,,,
6,WLDE003R170NA,DFN3*3,N,30,22,0.35,0.55,0.85,/,/,13.6,17,25.58,860.8,,,,
7,VUGA063N02TA,DFN3*3,N,20,22,0.4,0.6,0.9,/,/,10,12,9,387.5,,,,
8,VUGA100N03TA,DFN3*3,N,30,22,0.45,0.65,0.95,/,/,15,18,8.5,275.5,,,,
9,VUGA044N02TA,PDFN3.3X3.3-8L,N,20,22,0.4,0.6,0.9,/,/,7.2,9,18.19,782.8,,,,
10,VUGA067N03TA,PDFN3.3X3.3-8L,N,30,22,0.4,0.6,0.9,/,/,10,12,16.61,552,,,,
11,VUGA044N18TA,PDFN3.3X3.3-8L,N,16,22,0.4,0.6,0.9,/,/,6.7,9,18.67,814.9,,,,
12,VUGA053N25TA,PDFN3.3X3.3-8L,N,20,22,0.4,0.6,0.9,/,/,8.2,10,17.49,687.7,,,,
13,VUGA120N04TA,PDFN3.3X3.3-8L,N,30,22,0.4,0.6,0.9,/,/,13.2,16,16.56,441.8,,,,
14,V1-207A1,SOT23-3,N,20,6,0.5,0.67,1,26.5,35,22.1,28,4,245.3,,,,
15,V1-207A2,SOT23-3,N,20,6,0.5,0.64,1,21.7,30,18.8,23,5.3,327.7,,,,
1,VTTL050R15BNA,TO-252,500,5,2.5,/,4.5,1250,1450,NO,10.3,370,,,,,,
2,VTTL050R15BNB,TO-252,500,5,2.5,/,4.5,/,1550,NO,13,528,,,,,,
3,VTXX015R059N,TO220C/TO263-2/TO247/TOLL,150,120,2,3,4,5.1,5.9,NO,53.6,3600,,,,,,
4,VTTD060R50BNA,TO-220F,600,2,2,3.2,4,3600,5000,NO,13.7,337,,,,,,
5,VTTL060R50BNA,TO-252,600,2,2,3.2,4,3900,5000,NO,3.2,339,,,,,,
6,VTTD065R60BNA,TO-220F,650,2,2,3.1,4,4400,6000,NO,3.8,325,,,,,,
7,VTTL065R60BNA,TO-252,650,2,2,3,4,4600,6000,NO,3.6,326,,,,,,
8,VTTD065R17BNA,TO-220F,650,7,2,3.2,4,1200,1700,NO,17.1,1170,,,,,,
